59.8;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;0.10;-1.10;0.10;0.00;-1.60;1.40;0.20;-1.80;-0.35;-0.35;4.40;-1;0;0;0;0

59.5;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;0.10;-1.10;0.10;0.00;-1.60;1.40;0.20;-1.80;-0.35;-0.35;+1;0;0;0;0

60.04;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;0.10;-1.10;0.10;0.00;-1.60;1.40;0.20;-1.80;-0.35;-1;0;0;0;0

59.5;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;0.10;-1.10;0.10;0.00;-1.60;1.40;0.20;-1.80;+1;0;0;0;0

61.5;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;0.10;-1.10;0.10;0.00;-1.60;1.40;0.20;+1;0;0;0;0

61.95;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;0.10;-1.10;0.10;0.00;-1.60;1.40;+1;0;0;0;0

64.5;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;0.10;-1.10;0.10;0.00;-1.60;-1;0;0;0;0

64.25;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;0.10;-1.10;0.10;0.00;+1;0;0;0;0

64.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;0.10;-1.10;0.10;-1;0;0;0;0

64;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;0.10;-1.10;+1;0;0;0;0

66.79;2.79;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;0.10;-1;0;0;0;0

64.25;-2.54;2.79;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;1.85;-1;0;0;0;0

61;-3.25;-2.54;2.79;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;1.96;-1;0;0;0;0

58.7;-2.30;-3.25;-2.54;2.79;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;1.29;-1;0;0;0;0

54;-4.70;-2.30;-3.25;-2.54;2.79;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-0.10;-1;0;0;0;0

51.8;-2.20;-4.70;-2.30;-3.25;-2.54;2.79;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;0.50;-1;0;0;0;0

49.39;-2.41;-2.20;-4.70;-2.30;-3.25;-2.54;2.79;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;2.10;+1;0;0;0;0

57;7.61;-2.41;-2.20;-4.70;-2.30;-3.25;-2.54;2.79;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-0.40;+1;0;0;0;0

62;5.00;7.61;-2.41;-2.20;-4.70;-2.30;-3.25;-2.54;2.79;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;1.35;-1;0;0;0;0

59.1;-2.90;5.00;7.61;-2.41;-2.20;-4.70;-2.30;-3.25;-2.54;2.79;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;-0.85;-1;0;0;0;0

56.01;-3.09;-2.90;5.00;7.61;-2.41;-2.20;-4.70;-2.30;-3.25;-2.54;2.79;-0.49;0.24;-0.25;2.55;0.45;2.00;-0.54;0.54;-0.30;+1;0;0;0;0

